"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C100","CAPC0603(1608)100_N","2018.504mil","2043.307mil","2018.504mil","2043.307mil","1987.007mil","2043.307mil","T","360.00","CAP_0603"
"C101","CAPC0603(1608)100_N","2018.504mil","1980.315mil","2018.504mil","1980.315mil","1987.007mil","1980.315mil","T","360.00","CAP_0603"
"C102","CAPC1206(3216)100_N","1985.04mil","1901.575mil","1985.04mil","1901.575mil","1925.984mil","1901.575mil","T","360.00","CAP_1206"
"C103","CAPC0402(1005)60_N","2066.929mil","2928.15mil","2066.929mil","2928.15mil","2049.213mil","2928.15mil","B","360.00","CAP_0402"
"C104","CAPC0402(1005)60_N","2066.929mil","2862.205mil","2066.929mil","2862.205mil","2049.213mil","2862.205mil","B","360.00","CAP_0402"
"C105","CAPC0402(1005)60_N","2036.222mil","2261.811mil","2036.222mil","2261.811mil","2018.505mil","2261.811mil","T","360.00","CAP_0402"
"C106","CAPC0402(1005)60_N","2036.222mil","2208.189mil","2036.222mil","2208.189mil","2018.505mil","2208.189mil","T","360.00","CAP_0402"
"C107","CAPC0402(1005)60_N","2036.222mil","2155.512mil","2036.222mil","2155.512mil","2018.505mil","2155.512mil","T","360.00","CAP_0402"
"C108","CAPC0402(1005)60_N","2036.222mil","2101.378mil","2036.222mil","2101.378mil","2018.505mil","2101.378mil","T","360.00","CAP_0402"
"C109","CAPC0402(1005)60_N","3664.37mil","2898.622mil","3664.37mil","2898.622mil","3682.086mil","2898.622mil","T","180.00","CAP_0402"
"C110","CAPC0402(1005)60_N","3699.803mil","2913.386mil","3699.803mil","2913.386mil","3699.803mil","2895.67mil","B","90.00","CAP_0402"
"C111","CAPC0603(1608)100_N","2140.748mil","2043.307mil","2140.748mil","2043.307mil","2172.244mil","2043.307mil","T","180.00","CAP_0603"
"C112","CAPC0603(1608)100_N","2140.748mil","1980.315mil","2140.748mil","1980.315mil","2172.244mil","1980.315mil","T","180.00","CAP_0603"
"C113","CAPC1206(3216)100_N","2174.213mil","1901.575mil","2174.213mil","1901.575mil","2233.269mil","1901.575mil","T","180.00","CAP_1206"
"C114","CAPC0402(1005)60_N","2064.961mil","2989.173mil","2064.961mil","2989.173mil","2047.245mil","2989.173mil","B","360.00","CAP_0402"
"C115","CAPC0402(1005)60_N","2124.016mil","2305.118mil","2124.016mil","2305.118mil","2141.732mil","2305.118mil","T","180.00","CAP_0402"
"C116","CAPC0402(1005)60_N","2125mil","2253.937mil","2125mil","2253.937mil","2142.716mil","2253.937mil","T","180.00","CAP_0402"
"C117","CAPC0402(1005)60_N","2124.016mil","2201.772mil","2124.016mil","2201.772mil","2141.732mil","2201.772mil","T","180.00","CAP_0402"
"C118","CAPC0402(1005)60_N","2124.016mil","2150.591mil","2124.016mil","2150.591mil","2141.732mil","2150.591mil","T","180.00","CAP_0402"
"C119","CAPC0402(1005)60_N","2125mil","2099.409mil","2125mil","2099.409mil","2142.716mil","2099.409mil","T","180.00","CAP_0402"
"C120","CAPC0402(1005)60_N","1297.874mil","2538.503mil","1297.874mil","2538.503mil","1297.874mil","2520.787mil","B","90.00","TMK105BJ104KV-F"
"C121","CAPC0402(1005)60_N","1246.693mil","2539.487mil","1246.693mil","2539.487mil","1246.693mil","2521.771mil","B","90.00","TMK105BJ104KV-F"
"C122","CAPC0402(1005)60_N","1450.433mil","2671.377mil","1450.433mil","2671.377mil","1450.433mil","2689.093mil","B","270.00","CAP_0402"
