Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Bank,Width,Componenet Designator,Super Logic Region
,,,IO_L11N_T1_SRCC_35,C18,I/O,35,,,
,,,IO_L12P_T1_MRCC_35,D18,I/O,35,,,
,,,IO_L12N_T1_MRCC_35,C19,I/O,35,,,
,,,IO_L13P_T2_MRCC_35,B19,I/O,35,,,
,,,IO_L13N_T2_MRCC_35,B20,I/O,35,,,
,,,IO_L14P_T2_AD4P_SRCC_35,D20,I/O,35,,,
,,,IO_L14N_T2_AD4N_SRCC_35,C20,I/O,35,,,
,,,IO_L15P_T2_DQS_AD12P_35,A21,I/O,35,,,
,,,IO_L15N_T2_DQS_AD12N_35,A22,I/O,35,,,
,,,IO_L16P_T2_35,D22,I/O,35,,,
,,,IO_L16N_T2_35,C22,I/O,35,,,
,,,IO_L17P_T2_AD5P_35,E21,I/O,35,,,
,,,IO_L17N_T2_AD5N_35,D21,I/O,35,,,
,,,IO_L18P_T2_AD13P_35,B21,I/O,35,,,
,,,IO_L18N_T2_AD13N_35,B22,I/O,35,,,
,,,IO_L19P_T3_35,H19,I/O,35,,,
,,,IO_L19N_T3_VREF_35,H20,I/O,35,,,
,,,IO_L20P_T3_AD6P_35,G19,I/O,35,,,
,,,IO_L20N_T3_AD6N_35,F19,I/O,35,,,
,,,IO_L21P_T3_DQS_AD14P_35,E19,I/O,35,,,
,,,IO_L21N_T3_DQS_AD14N_35,E20,I/O,35,,,
,,,IO_L22P_T3_AD7P_35,G20,I/O,35,,,
,,,IO_L22N_T3_AD7N_35,G21,I/O,35,,,
,,,IO_L23P_T3_35,F21,I/O,35,,,
,,,IO_L23N_T3_35,F22,I/O,35,,,
,,,IO_L24P_T3_AD15P_35,H22,I/O,35,,,
,,,IO_L24N_T3_AD15N_35,G22,I/O,35,,,
,,,IO_25_35,H18,I/O,35,,,
,,,,,,,,,
,,,PS_CLK_500,F7,I/O,500,,,
,,,PS_POR_B_500,B5,I/O,500,,,
,,,PS_MIO15_500,E6,I/O,500,,,
,,,PS_MIO14_500,B6,I/O,500,,,
,,,PS_MIO13_500,A6,I/O,500,,,
,,,PS_MIO12_500,C5,I/O,500,,,
,,,PS_MIO11_500,B4,I/O,500,,,
,,,PS_MIO10_500,G7,I/O,500,,,
,,,PS_MIO9_500,C4,I/O,500,,,
,,,PS_MIO8_500,E5,I/O,500,,,
,,,PS_MIO7_500,D5,I/O,500,,,
,,,PS_MIO6_500,A4,I/O,500,,,
,,,PS_MIO5_500,A3,I/O,500,,,
,,,PS_MIO4_500,E4,I/O,500,,,
,,,PS_MIO3_500,F6,I/O,500,,,
,,,PS_MIO2_500,A2,I/O,500,,,
,,,PS_MIO1_500,A1,I/O,500,,,
,,,PS_MIO0_500,G6,I/O,500,,,
,,,,,,,,,
,,,PS_MIO_VREF_501,F8,I/O,501,,,
,,,PS_MIO17_501,E9,I/O,501,,,
,,,PS_MIO19_501,E10,I/O,501,,,
,,,PS_MIO21_501,F11,I/O,501,,,
,,,PS_MIO23_501,E11,I/O,501,,,
,,,PS_MIO25_501,F12,I/O,501,,,
,,,PS_MIO27_501,D7,I/O,501,,,
,,,PS_MIO29_501,E8,I/O,501,,,
,,,PS_MIO31_501,F9,I/O,501,,,
,,,PS_MIO33_501,G13,I/O,501,,,
,,,PS_MIO35_501,F14,I/O,501,,,
,,,PS_MIO38_501,F13,I/O,501,,,
,,,PS_MIO40_501,E14,I/O,501,,,
,,,PS_MIO42_501,D8,I/O,501,,,
,,,PS_MIO44_501,E13,I/O,501,,,
,,,PS_MIO46_501,D12,I/O,501,,,
,,,PS_MIO48_501,D11,I/O,501,,,
,,,PS_MIO50_501,D13,I/O,501,,,
,,,PS_MIO52_501,D10,I/O,501,,,
,,,PS_SRST_B_501,C9,I/O,501,,,
,,,PS_MIO16_501,D6,I/O,501,,,
,,,PS_MIO18_501,A7,I/O,501,,,
,,,PS_MIO20_501,A8,I/O,501,,,
,,,PS_MIO22_501,A14,I/O,501,,,
,,,PS_MIO24_501,B7,I/O,501,,,
,,,PS_MIO26_501,A13,I/O,501,,,
,,,PS_MIO28_501,A12,I/O,501,,,
,,,PS_MIO30_501,A11,I/O,501,,,
,,,PS_MIO32_501,C7,I/O,501,,,
,,,PS_MIO34_501,B12,I/O,501,,,
,,,PS_MIO36_501,A9,I/O,501,,,
,,,PS_MIO37_501,B14,I/O,501,,,
,,,PS_MIO39_501,C13,I/O,501,,,
,,,PS_MIO41_501,C8,I/O,501,,,
,,,PS_MIO43_501,B11,I/O,501,,,
,,,PS_MIO45_501,B9,I/O,501,,,
,,,PS_MIO47_501,B10,I/O,501,,,
,,,PS_MIO49_501,C14,I/O,501,,,
,,,PS_MIO51_501,C10,I/O,501,,,
,,,PS_MIO53_501,C12,I/O,501,,,
,,,,,,,,,
,,,PS_DDR_DRST_B_502,F3,I/O,502,,,
,,,PS_DDR_DQ0_502,D1,I/O,502,,,
,,,PS_DDR_DQ1_502,C3,I/O,502,,,
,,,PS_DDR_DQ2_502,B2,I/O,502,,,
,,,PS_DDR_DQ3_502,D3,I/O,502,,,
,,,PS_DDR_DM0_502,B1,I/O,502,,,
,,,PS_DDR_DQS_P0_502,C2,I/O,502,,,
,,,PS_DDR_DQS_N0_502,D2,I/O,502,,,
,,,PS_DDR_DQ4_502,E3,I/O,502,,,
,,,PS_DDR_DQ5_502,E1,I/O,502,,,
,,,PS_DDR_DQ6_502,F2,I/O,502,,,
,,,PS_DDR_DQ7_502,F1,I/O,502,,,
,,,PS_DDR_DQ8_502,G2,I/O,502,,,
,,,PS_DDR_DQ9_502,G1,I/O,502,,,
,,,PS_DDR_DQ10_502,L1,I/O,502,,,
,,,PS_DDR_DQ11_502,L2,I/O,502,,,
,,,PS_DDR_DM1_502,H3,I/O,502,,,
,,,PS_DDR_DQS_P1_502,H2,I/O,502,,,
,,,PS_DDR_DQS_N1_502,J2,I/O,502,,,
,,,PS_DDR_DQ12_502,L3,I/O,502,,,
,,,PS_DDR_DQ13_502,K1,I/O,502,,,
,,,PS_DDR_DQ14_502,J1,I/O,502,,,
,,,PS_DDR_DQ15_502,K3,I/O,502,,,
,,,PS_DDR_A14_502,G4,I/O,502,,,
,,,PS_DDR_A13_502,F4,I/O,502,,,
,,,PS_DDR_A12_502,H4,I/O,502,,,
,,,PS_DDR_A11_502,G5,I/O,502,,,
,,,PS_DDR_A10_502,J3,I/O,502,,,
,,,PS_DDR_A9_502,H5,I/O,502,,,
,,,PS_DDR_A8_502,J5,I/O,502,,,
,,,PS_DDR_A7_502,J6,I/O,502,,,
,,,PS_DDR_A6_502,J7,I/O,502,,,
,,,PS_DDR_A5_502,K5,I/O,502,,,
,,,PS_DDR_A4_502,K6,I/O,502,,,
,,,PS_DDR_A3_502,L4,I/O,502,,,
,,,PS_DDR_VRN_502,M7,I/O,502,,,
,,,PS_DDR_VRP_502,N7,I/O,502,,,
,,,PS_DDR_CKP_502,N4,I/O,502,,,
,,,PS_DDR_CKN_502,N5,I/O,502,,,
,,,PS_DDR_A2_502,K4,I/O,502,,,
,,,PS_DDR_A1_502,M5,I/O,502,,,
,,,PS_DDR_A0_502,M4,I/O,502,,,
,,,PS_DDR_BA2_502,M6,I/O,502,,,
,,,PS_DDR_BA1_502,L6,I/O,502,,,
,,,PS_DDR_BA0_502,L7,I/O,502,,,
,,,PS_DDR_ODT_502,P5,I/O,502,,,
,,,PS_DDR_CS_B_502,P6,I/O,502,,,
,,,PS_DDR_CKE_502,V3,I/O,502,,,
,,,PS_DDR_WE_B_502,R4,I/O,502,,,
,,,PS_DDR_CAS_B_502,P3,I/O,502,,,
,,,PS_DDR_RAS_B_502,R5,I/O,502,,,
,,,PS_DDR_DQ16_502,M1,I/O,502,,,
,,,PS_DDR_DQ17_502,T3,I/O,502,,,
,,,PS_DDR_DQ18_502,N3,I/O,502,,,
,,,PS_DDR_DQ19_502,T1,I/O,502,,,
,,,PS_DDR_DM2_502,P1,I/O,502,,,
,,,PS_DDR_DQS_P2_502,N2,I/O,502,,,
,,,PS_DDR_DQS_N2_502,P2,I/O,502,,,
,,,PS_DDR_DQ20_502,R3,I/O,502,,,
,,,PS_DDR_DQ21_502,T2,I/O,502,,,
,,,PS_DDR_DQ22_502,M2,I/O,502,,,
,,,PS_DDR_DQ23_502,R1,I/O,502,,,
,,,PS_DDR_DQ24_502,AA3,I/O,502,,,
,,,PS_DDR_DQ25_502,U1,I/O,502,,,
,,,PS_DDR_DQ26_502,AA1,I/O,502,,,
,,,PS_DDR_DQ27_502,U2,I/O,502,,,
,,,PS_DDR_DM3_502,AA2,I/O,502,,,
,,,PS_DDR_DQS_P3_502,V2,I/O,502,,,
,,,PS_DDR_DQS_N3_502,W2,I/O,502,,,
,,,PS_DDR_DQ28_502,W1,I/O,502,,,
,,,PS_DDR_DQ29_502,Y3,I/O,502,,,
,,,PS_DDR_DQ30_502,W3,I/O,502,,,
,,,PS_DDR_DQ31_502,Y1,I/O,502,,,
,,,,,,,,,
,,,GND,A5,POWER,,,,
,,,GND,A15,POWER,,,,
,,,GND,AA5,POWER,,,,
,,,GND,AA15,POWER,,,,
,,,GND,AB8,POWER,,,,
,,,GND,AB18,POWER,,,,
,,,GND,B8,POWER,,,,
,,,GND,B18,POWER,,,,
,,,GND,C1,POWER,,,,
,,,GND,C11,POWER,,,,
,,,GND,C21,POWER,,,,
,,,GND,D4,POWER,,,,
,,,GND,D14,POWER,,,,
,,,GND,E7,POWER,,,,
,,,GND,E17,POWER,,,,
,,,GND,F10,POWER,,,,
,,,GND,F20,POWER,,,,
,,,GND,G3,POWER,,,,
,,,GND,H6,POWER,,,,
,,,GND,H8,POWER,,,,
,,,GND,H12,POWER,,,,
,,,GND,H14,POWER,,,,
,,,GND,H16,POWER,,,,
,,,GND,J9,POWER,,,,
,,,GND,J11,POWER,,,,
,,,GND,J13,POWER,,,,
,,,GND,J19,POWER,,,,
,,,GND,K2,POWER,,,,
,,,GND,K8,POWER,,,,
,,,GND,K10,POWER,,,,
,,,GND,K14,POWER,,,,
,,,GND,K22,POWER,,,,
,,,GND,L5,POWER,,,,
,,,GND,L9,POWER,,,,
,,,GND,L13,POWER,,,,
,,,GND,L15,POWER,,,,
,,,GND,M8,POWER,,,,
,,,GND,M10,POWER,,,,
,,,GND,M14,POWER,,,,
,,,GND,M18,POWER,,,,
,,,GND,N1,POWER,,,,
,,,GND,N9,POWER,,,,
,,,GND,N13,POWER,,,,
,,,GND,N21,POWER,,,,
,,,GND,P4,POWER,,,,
,,,GND,P8,POWER,,,,
,,,GND,P10,POWER,,,,
,,,GND,P12,POWER,,,,
,,,GND,P14,POWER,,,,
,,,GND,R9,POWER,,,,
,,,GND,R11,POWER,,,,
,,,GND,R13,POWER,,,,
,,,GND,R17,POWER,,,,
,,,GND,T20,POWER,,,,
,,,GND,U3,POWER,,,,
,,,GND,U13,POWER,,,,
,,,GND,V6,POWER,,,,
,,,GND,V16,POWER,,,,
,,,GND,W9,POWER,,,,
,,,GND,W19,POWER,,,,
,,,GND,Y2,POWER,,,,
,,,GND,Y12,POWER,,,,
,,,GND,Y22,POWER,,,,
,,,,,,,,,
,,,VCCINT,J12,POWER,,,,
,,,VCCINT,J14,POWER,,,,
,,,VCCINT,K13,POWER,,,,
,,,VCCINT,L14,POWER,,,,
,,,VCCINT,M13,POWER,,,,
,,,VCCINT,N14,POWER,,,,
,,,VCCINT,P13,POWER,,,,
,,,VCCINT,R14,POWER,,,,
,,,VCCAUX,L10,POWER,,,,
,,,VCCAUX,N10,POWER,,,,
,,,VCCAUX,P11,POWER,,,,
,,,VCCAUX,R10,POWER,,,,
,,,VCCO_0,R12,POWER,,,,
,,,VCCO_13,AA10,POWER,,,,
,,,VCCO_13,AB3,POWER,,,,
,,,VCCO_13,T5,POWER,,,,
,,,VCCO_13,U8,POWER,,,,
,,,VCCO_13,V11,POWER,,,,
,,,VCCO_13,W4,POWER,,,,
,,,VCCO_13,Y7,POWER,,,,
,,,VCCO_33,AA20,POWER,,,,
,,,VCCO_33,AB13,POWER,,,,
,,,VCCO_33,U18,POWER,,,,
,,,VCCO_33,V21,POWER,,,,
,,,VCCO_33,W14,POWER,,,,
,,,VCCO_33,Y17,POWER,,,,
,,,VCCO_34,K17,POWER,,,,
,,,VCCO_34,L20,POWER,,,,
,,,VCCO_34,N16,POWER,,,,
,,,VCCO_34,P19,POWER,,,,
,,,VCCO_34,R22,POWER,,,,
,,,VCCO_34,T15,POWER,,,,
,,,VCCO_35,A20,POWER,,,,
,,,VCCO_35,C16,POWER,,,,
,,,VCCO_35,D19,POWER,,,,
,,,VCCO_35,E22,POWER,,,,
,,,VCCO_35,F15,POWER,,,,
,,,VCCO_35,G18,POWER,,,,
,,,VCCO_35,H21,POWER,,,,
,,,VCCBRAM,H11,POWER,,,,
,,,VCCBRAM,J10,POWER,,,,
,,,VCCO_DDR_502,E2,POWER,,,,
,,,VCCO_DDR_502,F5,POWER,,,,
,,,VCCO_DDR_502,H1,POWER,,,,
,,,VCCO_DDR_502,J4,POWER,,,,
,,,VCCO_DDR_502,K7,POWER,,,,
,,,VCCO_DDR_502,M3,POWER,,,,
,,,VCCO_DDR_502,N6,POWER,,,,
,,,VCCO_DDR_502,R2,POWER,,,,
,,,VCCO_DDR_502,V1,POWER,,,,
,,,VCCPLL,H10,POWER,,,,
,,,VCCPAUX,K9,POWER,,,,
,,,VCCPAUX,M9,POWER,,,,
,,,VCCPAUX,P9,POWER,,,,
,,,VCCPAUX,T9,POWER,,,,
,,,VCCPINT,G8,POWER,,,,
,,,VCCPINT,H9,POWER,,,,
,,,VCCPINT,J8,POWER,,,,
,,,VCCPINT,L8,POWER,,,,
,,,VCCPINT,N8,POWER,,,,
,,,VCCPINT,R8,POWER,,,,
,,,VCCO_MIO0_500,B3,POWER,,,,
,,,VCCO_MIO0_500,C6,POWER,,,,
,,,VCCO_MIO1_501,A10,POWER,,,,
,,,VCCO_MIO1_501,B13,POWER,,,,
,,,VCCO_MIO1_501,D9,POWER,,,,
,,,VCCO_MIO1_501,E12,POWER,,,,
,,,PS_DDR_VREF0_502,H7,POWER,,,,
,,,PS_DDR_VREF1_502,P7,POWER,,,,
