s,DDR3_DQS0_N_U4.G3_NoTerm,DDR3_DQS0_N_U2.D2_NoTerm
8.79008155152405E-9,0.365500748157501,0.365449458360672
8.84400819245457E-9,0.365453451871872,0.365493059158325
8.8979357215635E-9,0.365488409996033,0.365557730197906
8.95186236249401E-9,0.365523338317871,0.365600615739822
9.00578900342452E-9,0.365558296442032,0.36559584736824
9.05971653253346E-9,0.365593254566193,0.365563571453094
9.11364317346397E-9,0.365567326545715,0.365515679121017
9.16756981439448E-9,0.365541368722916,0.365483969449997
9.221496455325E-9,0.365515440702438,0.365487486124039
9.27542398443393E-9,0.365489482879639,0.365511417388916
9.32935062536444E-9,0.365508675575256,0.36554691195488
9.38327726629495E-9,0.365527898073196,0.365570425987244
9.43720390722547E-9,0.365547090768814,0.365567833185196
9.4911314363344E-9,0.365566313266754,0.365550100803375
9.54505807726491E-9,0.365552097558975,0.365523815155029
9.59898471819542E-9,0.365537881851196,0.365506380796432
9.65291224730436E-9,0.365523636341095,0.365508317947388
9.70683888823487E-9,0.365509420633316,0.365521460771561
9.76076552916538E-9,0.365519970655441,0.36554092168808
9.8146921700959E-9,0.365530490875244,0.365553826093674
9.86861969920483E-9,0.365541040897369,0.365552395582199
9.92254634013534E-9,0.365551590919495,0.365542680025101
9.97647298106585E-9,0.365551590919495,0.365528225898743
1.00303996219964E-8,0.365551590919495,0.365518689155579
