s,DDR3_A13_U5.T3_NoTerm,DDR3_A13_U4.T3_NoTerm,DDR3_A13_U2.F4_NoTerm
3.50311846197826E-9,0.923922777175903,0.969327688217163,0.756084203720093
3.56054652428384E-9,0.700665533542633,0.719207942485809,0.712509870529175
3.61797480863402E-9,0.491171270608902,0.469352543354034,0.684214651584625
3.67540287093959E-9,0.29347151517868,0.24569907784462,0.65591949224472
3.73283093324517E-9,0.106637872755527,0.0664812475442886,0.591719031333923
3.79025921759535E-9,-0.061874758452177,-0.0712082087993622,0.527518332004547
3.84768750194553E-9,-0.196241244673729,-0.17708121240139,0.425992727279663
3.90511578629571E-9,-0.282068163156509,-0.260301440954208,0.324467152357101
3.96254362655668E-9,-0.320557326078415,-0.322420954704285,0.231501504778862
4.01997191090686E-9,-0.324589103460312,-0.356208026409149,0.138535141944885
4.07740019525704E-9,-0.313524007797241,-0.355225205421448,0.0780725404620171
4.13482803551801E-9,-0.302495330572128,-0.325625538825989,0.0176104120910168
4.19225631986819E-9,-0.285701423883438,-0.276760429143906,-0.0196271073073149
4.24968460421837E-9,-0.250471085309982,-0.22105510532856,-0.0568646267056465
4.30711288856855E-9,-0.191802963614464,-0.169219180941582,-0.0723360404372215
4.36454072882952E-9,-0.115177750587463,-0.119241908192635,-0.0878073275089264
4.42196901317971E-9,-0.0376013778150082,-0.0647738724946976,-0.0902276933193207
4.47939729752989E-9,0.0209662783890963,-0.00468347733840346,-0.092648059129715
4.53682558188007E-9,0.0618482828140259,0.0583361946046352,-0.0858545452356339
4.59425342214104E-9,0.0895279571413994,0.112846374511719,-0.0790610834956169
4.65168170649122E-9,0.114821538329124,0.147607505321503,-0.0639277398586273
4.7091099908414E-9,0.142260819673538,0.161085173487663,-0.048794399946928
4.76653827519158E-9,0.165332823991776,0.158499374985695,-0.0309719070792198
4.82396611545255E-9,0.172935381531715,0.14996038377285,-0.0131495529785752
4.88139439980273E-9,0.160030514001846,0.142465755343437,0.00169347180053592
