s,DDR3_A3_U4.N2_NoTerm,DDR3_A3_U5.N2_NoTerm,DDR3_A3_U2.L4_NoTerm
1.35723321470493E-9,5.18515946623666E-7,7.56685665237455E-7,1.62708147399826E-6
1.37151978663042E-9,5.70414329104096E-7,5.01553643061925E-7,1.77526248990034E-6
1.3858064695782E-9,7.58823262003716E-7,8.57530778830551E-7,1.6916434333325E-6
1.40009315252598E-9,1.536202034913E-6,1.21350785775576E-6,1.60802437676466E-6
1.41437983547377E-9,1.53717110151774E-6,1.56948499352438E-6,1.52440532019682E-6
1.42866651842155E-9,1.98834595721564E-6,1.92546212929301E-6,1.44078626362898E-6
1.44295320136933E-9,1.99939267986338E-6,1.92260677067679E-6,1.35716720706114E-6
1.45723977329482E-9,2.57909641732113E-6,1.91975163943425E-6,1.27354871892749E-6
1.4715264562426E-9,2.58525665230991E-6,1.91689650819171E-6,1.18992966235965E-6
1.48581313919038E-9,1.32743718950223E-6,1.9140411495755E-6,1.1063106057918E-6
1.50009982213817E-9,9.94017227640143E-7,1.77589038230508E-6,1.19816434107634E-6
1.51438650508595E-9,7.01893725363334E-8,1.63773950134782E-6,1.29001807636087E-6
1.52867318803374E-9,7.36006597890082E-8,1.49958873407741E-6,1.38187169795856E-6
1.54295975995922E-9,-1.19458292147101E-7,1.36143898998853E-6,1.47372475112206E-6
1.557246442907E-9,8.18141131730954E-7,1.59538183197583E-6,1.56557848640659E-6
1.57153312585478E-9,7.14770465037873E-7,1.82932467396313E-6,1.65743210800429E-6
1.58581980880257E-9,4.0529164380132E-7,2.06326740226359E-6,1.74928584328882E-6
1.60010649175035E-9,1.55559257564164E-6,2.29721035793773E-6,1.84113957857335E-6
1.61439317469814E-9,1.35173570470215E-6,1.81100278950908E-6,1.69888789969264E-6
1.62867974662362E-9,7.4411713057998E-7,1.3247990864329E-6,1.55663724399346E-6
1.6429664295714E-9,7.55263954488328E-7,8.38591574847669E-7,1.41438556511275E-6
1.65725311251919E-9,6.1389675920509E-7,3.52384034840725E-7,1.27213388623204E-6
1.67153979546697E-9,-1.64135258273745E-7,3.98167543380623E-7,1.12988220735133E-6
1.68582647841475E-9,-1.73407968873107E-7,4.43951051920521E-7,9.87630528470618E-7
1.70011316136254E-9,-8.28410293252091E-7,4.8973453203871E-7,8.45378792746487E-7
1.71439973328802E-9,-8.28696499866055E-7,5.35517699518095E-7,7.03128193890734E-7
1.7286864162358E-9,6.62186948829913E-7,4.74851248100094E-7,7.82260372034216E-7
1.74297309918359E-9,1.00960937743366E-6,4.14184796682093E-7,8.61392550177698E-7
1.75725978213137E-9,1.1730313786984E-7,3.53518373685802E-7,9.40524728321179E-7
1.77154646507915E-9,4.32596948485298E-7,2.92851922267801E-7,1.01965690646466E-6
1.78583314802694E-9,1.33990772610559E-6,2.33030860385952E-7,1.09878908460814E-6
1.80011983097472E-9,1.3665109008798E-6,1.73209798504104E-7,1.17792126275162E-6
1.8144064029002E-9,1.53399582814018E-6,1.13389198475033E-7,1.25705275877408E-6
1.82869308584799E-9,2.13776615964889E-6,5.35681330404714E-8,1.33618493691756E-6
1.84297976879577E-9,2.13287012229557E-6,-3.99939423800788E-8,1.2112005833842E-6
1.85726645174356E-9,2.28277076530503E-6,-1.33556014247915E-7,1.086216116164E-6
1.87155313469134E-9,1.09214352050913E-6,-2.27118093221179E-7,9.61231762630632E-7
1.88583970661682E-9,9.62572585194721E-7,-3.20679447440853E-7,8.36248375435389E-7
1.90012650058691E-9,6.14851387581439E-7,-1.6084648279957E-7,7.11262998720485E-7
1.91441307251239E-9,1.45688386510301E-6,-1.01600505786337E-9,5.86279611525242E-7
1.92869986648248E-9,9.47446494592441E-7,1.58816959583419E-7,4.61294263232048E-7
1.94298643840796E-9,1.70091391282767E-6,3.18647437325126E-7,3.36310847615096E-7
1.95727301033344E-9,9.5286844725706E-7,1.75102286448237E-7,0.00499136978760362
1.97155980430352E-9,9.18088574053399E-7,3.1554904467157E-8,0.00998248159885406
1.98584637622901E-9,1.25596898215008E-6,-1.11990246409732E-7,0.014973514713347
2.00013317019909E-9,-9.10525898234482E-7,-2.55537628390812E-7,0.0199646260589361
2.01441974212457E-9,-8.70496023708256E-7,2.67814584731241E-7,0.0249556601047516
2.02870631405005E-9,-7.54068366859428E-7,7.91166826275003E-7,0.0299466941505671
2.04299310802014E-9,-3.95817579601498E-7,1.31452713958424E-6,0.0349378064274788
