s,DDR3_A3_U4.N2_NoTerm,DDR3_A3_U5.N2_NoTerm,DDR3_A3_U2.L4_NoTerm
2.14299977763233E-9,-7.76510091782256E-7,1.08119843389431E-6,0.248768240213394
2.15728634955781E-9,3.37474148182082E-6,9.44504165545368E-7,0.283574551343918
2.17157314352789E-9,5.41556219104677E-5,8.07807793989923E-7,0.318381428718567
2.18585971545338E-9,0.000207584991585463,0.000972598849330097,0.366192013025284
2.20014628737886E-9,0.000894999539013952,0.00194438989274204,0.414002567529678
2.21443308134894E-9,0.00215484667569399,0.00291619589552283,0.461813896894455
2.22871965327442E-9,0.00392698403447866,0.00388798699714243,0.509624481201172
2.24300644724451E-9,0.00617065886035562,0.00722622452303767,0.557435810565948
2.25729301916999E-9,0.0094132237136364,0.0105644101276994,0.605246365070343
2.27157981314008E-9,0.0136571293696761,0.013902647420764,0.65305769443512
2.28586638506556E-9,0.0189247895032167,0.017240833491087,0.700868248939514
2.30015295699104E-9,0.0253477022051811,0.0281391032040119,0.730257749557495
2.31443975096113E-9,0.0353491380810738,0.0390375405550003,0.759647727012634
2.32872632288661E-9,0.0490363277494907,0.0499358139932156,0.789037227630615
2.3430131168567E-9,0.0659501031041145,0.0608342513442039,0.81842714548111
2.35729968878218E-9,0.0857955366373062,0.0878755301237106,0.847816646099091
2.37158626070766E-9,0.111772030591965,0.114916808903217,0.877206146717072
2.38587305467775E-9,0.143706738948822,0.141958504915237,0.906596124172211
2.40015962660323E-9,0.180287823081017,0.168999791145325,0.935985624790192
2.41444642057331E-9,0.22037211060524,0.212712273001671,0.940393567085266
2.42873299249879E-9,0.264316350221634,0.256424069404602,0.944801509380341
2.44301978646888E-9,0.311499834060669,0.300136536359787,0.949209451675415
2.45730635839436E-9,0.361067056655884,0.343848347663879,0.953617334365845
2.47159293031984E-9,0.412606567144394,0.400708496570587,0.958025276660919
2.48587972428993E-9,0.468145966529846,0.457569509744644,0.962433218955994
2.50016629621541E-9,0.52747905254364,0.51442962884903,0.966841161251068
2.5144530901855E-9,0.589112639427185,0.571290671825409,0.971249103546143
2.52873966211098E-9,0.652136921882629,0.636887490749359,0.965285539627075
2.54302645608107E-9,0.716074407100677,0.702485322952271,0.959321916103363
2.55731302800655E-9,0.780507326126099,0.768082082271576,0.953358352184296
2.57159959993203E-9,0.844388246536255,0.833678901195526,0.947394788265228
2.58588639390211E-9,0.907411873340607,0.897943735122681,0.941431105136871
2.6001729658276E-9,0.968972861766815,0.962207555770874,0.935467541217804
2.61445975979768E-9,1.02909302711487,1.02647244930267,0.929503917694092
2.62874633172316E-9,1.08747398853302,1.09073626995087,0.923540353775024
2.64303290364865E-9,1.14429092407227,1.14806878566742,0.921291649341583
2.65731969761873E-9,1.19936847686768,1.205402135849,0.919042885303497
2.67160626954421E-9,1.25291335582733,1.26273477077484,0.916794180870056
2.6858930635143E-9,1.30471050739288,1.32006812095642,0.91454541683197
2.70017963543978E-9,1.35479521751404,1.36677956581116,0.912296712398529
2.71446642940987E-9,1.40164113044739,1.41349184513092,0.910047948360443
2.72875300133535E-9,1.44538712501526,1.46020328998566,0.907799243927002
2.74303957326083E-9,1.48667967319489,1.50691473484039,0.905550539493561
2.75732636723092E-9,1.52609801292419,1.54214227199554,0.920448899269104
2.7716129391564E-9,1.56337654590607,1.57736933231354,0.935347080230713
2.78589973312648E-9,1.59885406494141,1.61259686946869,0.950245440006256
2.80018630505197E-9,1.63313043117523,1.64782392978668,0.96514356136322
