s,DDR3_DQ17_U5.F7_NoTerm,DDR3_DQ17_U2.T3_NoTerm
6.14465145432064E-9,0.474824905395508,0.411384463310242
6.21958617941232E-9,0.465656757354736,0.418654978275299
6.294520904504E-9,0.455636888742447,0.425925523042679
6.36945562959568E-9,0.446429789066315,0.431689828634262
6.44439035468736E-9,0.43847069144249,0.437454134225845
6.51932507977904E-9,0.431705892086029,0.438582062721252
6.59425980487072E-9,0.429499924182892,0.439710021018982
6.66919497405161E-9,0.431418776512146,0.440055102109909
6.74412969914329E-9,0.433368682861328,0.440400153398514
6.81906442423497E-9,0.435877084732056,0.440410137176514
6.89399914932665E-9,0.437068462371826,0.440420150756836
6.96893387441833E-9,0.437185555696487,0.439724743366241
7.04386859951001E-9,0.437518715858459,0.439029306173325
7.11880332460169E-9,0.437901854515076,0.43854945898056
7.19373804969337E-9,0.438327014446259,0.438069641590118
7.26867277478505E-9,0.43879497051239,0.438024491071701
7.34360794396594E-9,0.438893139362335,0.437979310750961
7.41854266905762E-9,0.438674747943878,0.437972277402878
7.49347695006009E-9,0.438469290733337,0.437965244054794
7.56841167515176E-9,0.43823429942131,0.437956809997559
7.64334640024344E-9,0.438134104013443,0.437948375940323
7.71828201351354E-9,0.438147455453873,0.437999337911606
7.79321673860522E-9,0.438137173652649,0.438050270080566
7.8681514636969E-9,0.438120931386948,0.438085287809372
7.94308618878858E-9,0.438091933727264,0.438120305538177
8.01802091388026E-9,0.438051044940948,0.438118129968643
8.09295563897194E-9,0.438042730093002,0.438115954399109
8.16789036406362E-9,0.438061267137527,0.438114047050476
8.2428250891553E-9,0.438078969717026,0.438112109899521
8.31775981424698E-9,0.438099443912506,0.438113272190094
8.39269453933866E-9,0.438106805086136,0.438114434480667
8.46762926443034E-9,0.438103169202805,0.438110560178757
8.54256398952202E-9,0.438102126121521,0.438106685876846
8.6174987146137E-9,0.438101947307587,0.438103944063187
8.69243343970538E-9,0.438103914260864,0.438101202249527
8.76736816479706E-9,0.438107401132584,0.438101768493652
8.84230288988874E-9,0.438108175992966,0.438102304935455
8.91723761498042E-9,0.438105940818787,0.438102602958679
8.9921723400721E-9,0.438105165958405,0.438102900981903
9.06710706516378E-9,0.438103884458542,0.438102304935455
9.14204267843388E-9,0.438102543354034,0.438101679086685
9.21697740352556E-9,0.438103139400482,0.438102275133133
9.29191212861724E-9,0.438102781772614,0.438102871179581
9.36684685370892E-9,0.438103675842285,0.438103258609772
9.4417815788006E-9,0.438102245330811,0.438103675842285
9.51671630389228E-9,0.438102781772614,0.438103199005127
9.59165102898396E-9,0.438102126121521,0.438102692365646
9.66658575407564E-9,0.438103467226028,0.438103646039963
9.74152047916732E-9,0.438102781772614,0.438104599714279
9.816455204259E-9,0.438103437423706,0.438104242086411
9.89138992935068E-9,0.438102394342422,0.438103884458542
9.96632465444236E-9,0.438103497028351,0.438104271888733
1.0041259379534E-8,0.438103586435318,0.438104689121246
