s,DDR3_CLK0_N_DDR3_CLK0_P_U5.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N5_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U5.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N4_NoTerm
1.8917540867136E-9,2.23110214392364E-6,1.20256089530812E-8,9.05614570001489E-7,2.006982185776E-6,2.006982185776E-6,9.30109763430664E-7
1.93116567182017E-9,1.93050345842494E-6,-1.35079716301334E-7,0.00770314084365964,2.94362109798385E-7,2.94362109798385E-7,0.00770321348682046
1.97057725692673E-9,2.48950891545974E-6,5.96212146319886E-7,0.0154053755104542,9.27513156057103E-7,9.27513156057103E-7,0.0154054965823889
2.00998884203329E-9,8.25148561034439E-7,4.37757108784353E-7,0.02310761064291,2.76956399147821E-7,2.76956399147821E-7,0.0231077801436186
2.04940042713986E-9,5.57615237539721E-7,1.90564833246754E-6,0.0308098457753658,1.65971118804009E-6,1.65971118804009E-6,0.0308100637048483
2.08881179020182E-9,5.63112280360656E-7,2.14826059163897E-6,0.129390314221382,1.13506689558562E-6,1.13506689558562E-6,0.129390567541122
2.12822337530838E-9,0.000832300051115453,0.00083413312677294,0.227971330285072,0.000836439488921314,0.000836439488921314,0.227971628308296
2.16763496041494E-9,0.0041355979628861,0.00413706852123141,0.326552361249924,0.00414436683058739,0.00414436683058739,0.32655268907547
2.20704654552151E-9,0.00963691994547844,0.00963718071579933,0.425133377313614,0.00964704807847738,0.00964704807847738,0.425133734941483
2.24645813062807E-9,0.0158392358571291,0.0158385317772627,0.539580881595612,0.0158465784043074,0.0158465784043074,0.539582133293152
2.28586949369003E-9,0.0326008349657059,0.0325994715094566,0.654027700424194,0.0326371639966965,0.0326371639966965,0.654029846191406
2.32528107879659E-9,0.0803578048944473,0.0803561508655548,0.76847517490387,0.0804598331451416,0.0804598331451416,0.768478214740753
2.36469266390316E-9,0.155974417924881,0.155973255634308,0.882922649383545,0.156103894114494,0.156103894114494,0.8829265832901
2.40410424900972E-9,0.240849226713181,0.240849003195763,0.912842333316803,0.240952894091606,0.240952894091606,0.912856936454773
2.44351583411628E-9,0.336756378412247,0.336757063865662,0.942762017250061,0.33685114979744,0.33685114979744,0.942787230014801
2.48292741922285E-9,0.460266262292862,0.460267573595047,0.972681760787964,0.460392892360687,0.460392892360687,0.972717583179474
2.52233878228481E-9,0.611963152885437,0.611964643001556,1.00260126590729,0.612106084823608,0.612106084823608,1.00264775753021
2.56175036739137E-9,0.777369379997253,0.777370393276215,0.992793440818787,0.777498304843903,0.777498304843903,0.992852807044983
2.60116195249793E-9,0.942465245723724,0.942465424537659,0.982985615730286,0.94255930185318,0.94255930185318,0.983057916164398
2.6405735376045E-9,1.09358859062195,1.0935879945755,0.973177790641785,1.09362399578094,1.09362399578094,0.973263025283813
2.67998512271106E-9,1.23512315750122,1.23512196540833,0.963369965553284,1.2351211309433,1.2351211309433,0.963468074798584
2.71939648577302E-9,1.37875592708588,1.37875461578369,0.986000716686249,1.37875306606293,1.37875306606293,0.986092209815979
2.75880807087958E-9,1.51543867588043,1.51543784141541,1.0086315870285,1.51541566848755,1.51541566848755,1.00871646404266
2.79821965598614E-9,1.62238490581512,1.62238478660583,1.03126239776611,1.62230145931244,1.62230145931244,1.03134083747864
2.83763124109271E-9,1.70034909248352,1.70034968852997,1.05389332771301,1.70023429393768,1.70023429393768,1.05396509170532
