s,DDR3_A0_U5.N3_NoTerm,DDR3_A0_U4.N3_NoTerm,DDR3_A0_U2.M4_NoTerm
2.44463849163878E-9,0.579264044761658,0.579068541526794,1.31471359729767
2.49165066357193E-9,0.740126371383667,0.739955961704254,1.29142928123474
2.53866283550508E-9,0.900988698005676,0.900941133499146,1.26814484596252
2.58567522948283E-9,1.0371116399765,1.03724122047424,1.22281265258789
2.63268740141598E-9,1.13234913349152,1.13262486457825,1.17748069763184
2.67969979539373E-9,1.19184231758118,1.19215929508209,1.13427698612213
2.72671196732688E-9,1.22355794906616,1.22380077838898,1.09107351303101
2.77372436130463E-9,1.24328112602234,1.24333190917969,1.08586800098419
2.82073653323778E-9,1.2626965045929,1.26255452632904,1.08066248893738
2.86774892721553E-9,1.28353810310364,1.28329241275787,1.10875046253204
2.91476109914868E-9,1.30454504489899,1.30433213710785,1.13683831691742
2.96177349312643E-9,1.31718158721924,1.31713593006134,1.15705537796021
3.00878566505958E-9,1.314861536026,1.31501317024231,1.1772723197937
3.05579805903733E-9,1.29910624027252,1.29938089847565,1.09706008434296
3.10281023097048E-9,1.27286434173584,1.27312660217285,1.01684820652008
3.14982262494823E-9,1.2463835477829,1.2464851140976,0.833004355430603
3.19683479688138E-9,1.22716546058655,1.22705972194672,0.649161338806152
3.24384719085913E-9,1.21322572231293,1.21297669410706,0.493800044059753
3.29085936279228E-9,1.20005559921265,1.19980275630951,0.338439464569092
3.33787153472542E-9,1.16506719589233,1.164999127388,0.271596729755402
3.38488392870318E-9,1.09112691879272,1.09131252765656,0.204753696918488
3.43189610063632E-9,0.974725365638733,0.975120961666107,0.192727833986282
3.47890849461407E-9,0.818048417568207,0.818495094776154,0.180701911449432
3.52592066654722E-9,0.651692748069763,0.651941001415253,0.202979281544685
3.57293306052497E-9,0.500825762748718,0.500758707523346,0.225256755948067
3.61994523245812E-9,0.383844524621964,0.383451700210571,0.270583391189575
3.66695762643587E-9,0.310570120811462,0.310021787881851,0.315910249948502
3.71396979836902E-9,0.269275933504105,0.268836915493011,0.350963205099106
3.76098219234677E-9,0.24762699007988,0.247477933764458,0.386016339063644
3.80799436427992E-9,0.230550408363342,0.230754360556602,0.378778547048569
3.85500653621307E-9,0.208142325282097,0.208563223481178,0.371540755033493
