s,DDR3_A5_U5.P2_NoTerm,DDR3_A5_U4.P2_NoTerm,DDR3_A5_U2.K5_NoTerm
1.85121395990251E-9,0.241401687264442,0.241390541195869,0.241395771503448
1.88978099835424E-9,0.241391316056252,0.241400390863419,0.241395577788353
1.92834792578367E-9,0.241382732987404,0.241407841444016,0.241395398974419
1.9669148532131E-9,0.24137906730175,0.241410195827484,0.243795573711395
2.00548178064253E-9,0.24138155579567,0.241406738758087,0.246195763349533
2.04404870807195E-9,0.241389155387878,0.241399154067039,0.314056217670441
2.08261563550138E-9,0.241398766636848,0.241390362381935,0.381916671991348
2.12118256293081E-9,0.241413831710815,0.241390854120255,0.542856991291046
2.15974971240485E-9,0.241475701332092,0.241446673870087,0.703798234462738
2.19831663983427E-9,0.241888791322708,0.241865292191505,0.870798349380493
2.2368835672637E-9,0.244119003415108,0.244107872247696,1.03779852390289
2.27545049469313E-9,0.251718968153,0.251720905303955,1.14276909828186
2.31401742212256E-9,0.273343652486801,0.273347616195679,1.24773967266083
2.35258434955199E-9,0.321790248155594,0.32178470492363,1.28314030170441
2.39115127698142E-9,0.402820497751236,0.402793854475021,1.31854093074799
2.42971842645545E-9,0.518220663070679,0.518169641494751,1.31523787975311
2.46828535388488E-9,0.657593250274658,0.657533168792725,1.31193482875824
2.50685228131431E-9,0.801786065101624,0.801736414432526,1.28985643386841
2.54541920874374E-9,0.936316549777985,0.936301589012146,1.26777803897858
2.58398613617317E-9,1.04635238647461,1.04638683795929,1.22521018981934
2.6225530636026E-9,1.12705409526825,1.12713539600372,1.18264222145081
2.66111999103202E-9,1.17844176292419,1.1785489320755,1.13846731185913
2.69968691846145E-9,1.20684194564819,1.20694184303284,1.09429240226746
2.73825406793549E-9,1.22316324710846,1.22322416305542,1.07741713523865
2.77682099536491E-9,1.23602366447449,1.23602402210236,1.06054186820984
2.81538792279434E-9,1.25379920005798,1.25374007225037,1.07814311981201
2.85395485022377E-9,1.27696287631989,1.27686810493469,1.09574437141418
2.8925217776532E-9,1.3016117811203,1.30151748657227,1.12530088424683
2.93108870508263E-9,1.32196414470673,1.32190907001495,1.15485751628876
2.96965563251206E-9,1.33054673671722,1.33055508136749,1.17136168479919
3.00822278198609E-9,1.32519674301147,1.32526803016663,1.18786597251892
