s,DDR3_DQ24_U5.D7_NoTerm,DDR3_DQ24_U2.AA3_NoTerm
4.216025306647E-9,1.13741374015808,1.14297497272491
4.3118442150103E-9,1.14638876914978,1.14331901073456
4.40766267928439E-9,1.14642417430878,1.14723360538483
4.50348158764768E-9,1.14813101291656,1.14629673957825
4.59930049601098E-9,1.14370596408844,1.14418828487396
4.69511896028507E-9,1.14039313793182,1.14458966255188
4.79093786864837E-9,1.1472829580307,1.14453399181366
4.88675677701167E-9,1.14713537693024,1.14560115337372
4.98257524128576E-9,1.14416813850403,1.14586007595062
5.07839414964906E-9,0.921412348747253,1.14426672458649
5.17421305801236E-9,0.472334206104279,1.14469230175018
5.27003152228644E-9,0.25922703742981,1.14002633094788
5.36585043064974E-9,0.255961954593658,1.06727778911591
5.46166889492383E-9,0.254427433013916,0.861122846603394
5.55748780328713E-9,0.270209789276123,0.616249263286591
5.65330671165043E-9,0.374805808067322,0.470277428627014
5.74912517592452E-9,0.546185493469238,0.414946049451828
5.84494408428782E-9,0.5811567902565,0.388947695493698
5.94076299265112E-9,0.471975773572922,0.357301652431488
6.03658145692521E-9,0.399067580699921,0.325128346681595
6.1324003652885E-9,0.387820899486542,0.330673098564148
6.2282192736518E-9,0.402829378843307,0.35946586728096
6.32403773792589E-9,0.400685846805573,0.370281726121902
6.41985664628919E-9,0.353100150823593,0.366728335618973
6.51567555465249E-9,0.334918707609177,0.361095249652863
6.61149401892658E-9,0.360197782516479,0.362242758274078
6.70731292728988E-9,0.3714439868927,0.371785312891006
6.80313183565318E-9,0.371311902999878,0.372307240962982
6.89895029992726E-9,0.362137019634247,0.365121155977249
6.99476920829056E-9,0.354014903306961,0.363433301448822
7.09058811665386E-9,0.367455989122391,0.364472657442093
7.18640658092795E-9,0.373728662729263,0.366751074790955
7.28222548929125E-9,0.365738123655319,0.367702484130859
7.37804439765455E-9,0.364185333251953,0.364345997571945
7.47386330601785E-9,0.362855345010757,0.363768398761749
7.56968177029194E-9,0.365119963884354,0.365909993648529
7.66550023456603E-9,0.369846850633621,0.366017371416092
7.76131958701853E-9,0.365186840295792,0.366056799888611
7.85713805129262E-9,0.363043040037155,0.365379154682159
7.95295651556671E-9,0.365928262472153,0.36461129784584
8.04877586801922E-9,0.365376442670822,0.365853399038315
8.14459433229331E-9,0.366494506597519,0.366077065467834
8.2404127965674E-9,0.366200625896454,0.365346878767014
8.33623214901991E-9,0.363831162452698,0.365522146224976
8.432050613294E-9,0.365689933300018,0.365315020084381
8.52786907756808E-9,0.366355866193771,0.365481734275818
8.62368843002059E-9,0.365155309438705,0.365919291973114
8.71950689429468E-9,0.365889579057693,0.365415573120117
8.81532535856877E-9,0.365202218294144,0.365359425544739
8.91114471102128E-9,0.365099847316742,0.365638226270676
9.00696317529537E-9,0.366257876157761,0.365464627742767
