s,DDR3_A7_U5.R2_NoTerm,DDR3_A7_U4.R2_NoTerm,DDR3_A7_U2.J6_NoTerm
4.41830261266318E-9,1.23092210292816,1.23087298870087,1.23113572597504
4.47882708698444E-9,1.23110246658325,1.23103368282318,1.23133182525635
4.5393520053949E-9,1.23127496242523,1.23124718666077,1.23147428035736
4.59987647971616E-9,1.2313768863678,1.23141324520111,1.23161661624908
4.66040139812662E-9,1.23134136199951,1.23140799999237,1.23146641254425
4.72092587244788E-9,1.23113298416138,1.23117065429688,1.23131620883942
4.78145079085834E-9,1.23104500770569,1.23102152347565,1.23127639293671
4.8419752651796E-9,1.23111474514008,1.23105263710022,1.23123669624329
4.90250018359006E-9,1.23120617866516,1.23116087913513,1.23129308223724
4.96302465791132E-9,1.23131787776947,1.23132860660553,1.23134934902191
5.02354957632178E-9,1.23135042190552,1.23140609264374,1.15921258926392
5.08407405064304E-9,1.23128950595856,1.23133993148804,1.08707630634308
5.1445989690535E-9,1.23125755786896,1.23125874996185,0.873515069484711
5.20512344337476E-9,1.23125410079956,1.23120665550232,0.659955441951752
5.26564836178522E-9,1.20999920368195,1.20995271205902,0.458935618400574
5.32617283610648E-9,1.16336178779602,1.16336381435394,0.257917284965515
5.38669775451694E-9,1.06408751010895,1.0641565322876,0.211726099252701
5.4472222288382E-9,0.906237304210663,0.906328022480011,0.165535256266594
5.50774714724866E-9,0.730279922485352,0.730329394340515,0.199525713920593
5.56827162156992E-9,0.543614506721497,0.543587148189545,0.233515933156013
5.62879653998039E-9,0.398510456085205,0.398420184850693,0.278293609619141
5.68932101430164E-9,0.306914836168289,0.306830078363419,0.32307094335556
5.74984593271211E-9,0.247011885046959,0.246984615921974,0.343761116266251
5.81037040703336E-9,0.215498864650726,0.215541690587997,0.364451140165329
5.87089532544383E-9,0.192884102463722,0.192949026823044,0.34562686085701
5.93141979976508E-9,0.173618391156197,0.173645332455635,0.326802730560303
5.99194471817555E-9,0.168383479118347,0.168345242738724,0.304305166006088
6.0524691924968E-9,0.178960084915161,0.178887546062469,0.281807750463486
6.11299411090727E-9,0.195549115538597,0.19550184905529,0.270075619220734
6.17351858522852E-9,0.217084422707558,0.217100754380226,0.258343577384949
6.23404350363899E-9,0.232091352343559,0.232156649231911,0.248477578163147
6.29456797796024E-9,0.237870365381241,0.237927615642548,0.23861163854599
6.35509289637071E-9,0.240947514772415,0.240950092673302,0.234355896711349
6.41561737069196E-9,0.24231992661953,0.24226775765419,0.230100184679031
6.47614228910243E-9,0.244478836655617,0.244419574737549,0.232579052448273
6.53666676342368E-9,0.248360216617584,0.24834543466568,0.235057905316353
6.59719168183415E-9,0.250164061784744,0.250205874443054,0.236852809786797
6.6577161561554E-9,0.249149724841118,0.249210193753242,0.23864771425724
