s,DDR3_A0_U5.N3_NoTerm,DDR3_A0_U4.N3_NoTerm,DDR3_A0_U2.M4_NoTerm
2.44463849163878E-9,0.577813625335693,0.577618718147278,1.31470847129822
2.49165066357193E-9,0.73840469121933,0.738255858421326,1.29140055179596
2.53866283550508E-9,0.899273157119751,0.899223506450653,1.2680926322937
2.58567522948283E-9,1.0356605052948,1.03578662872314,1.2226574420929
2.63268740141598E-9,1.13136494159698,1.13163816928864,1.17722249031067
2.67969979539373E-9,1.1913069486618,1.19162487983704,1.1337970495224
2.72671196732688E-9,1.22337782382965,1.22362542152405,1.09037172794342
2.77372436130463E-9,1.24328088760376,1.24333882331848,1.08496880531311
2.82073653323778E-9,1.26273334026337,1.26259708404541,1.07956600189209
2.86774892721553E-9,1.28358459472656,1.28333961963654,1.10769414901733
2.91476109914868E-9,1.3046361207962,1.30441761016846,1.135822057724
2.96177349312643E-9,1.31741344928741,1.31735825538635,1.16020202636719
3.00878566505958E-9,1.31530678272247,1.31545031070709,1.18458199501038
3.05579805903733E-9,1.29972195625305,1.29999470710754,1.19207870960236
3.10281023097048E-9,1.27356421947479,1.27383303642273,1.19957542419434
3.14982262494823E-9,1.24719405174255,1.24730730056763,1.20658278465271
3.19683479688138E-9,1.2286479473114,1.22855162620544,1.21359002590179
3.24384719085913E-9,1.22031378746033,1.22005593776703,1.22679734230042
3.29085936279228E-9,1.22234952449799,1.22206139564514,1.24000453948975
3.33787153472542E-9,1.228471159935,1.2283079624176,1.24697709083557
3.38488392870318E-9,1.23330116271973,1.23333775997162,1.25394976139069
3.43189610063632E-9,1.23378622531891,1.23399829864502,1.24884605407715
3.47890849461407E-9,1.22862136363983,1.22889161109924,1.24374234676361
3.52592066654722E-9,1.22150695323944,1.22168612480164,1.23726868629456
3.57293306052497E-9,1.21586418151855,1.21586406230927,1.23079490661621
3.61994523245812E-9,1.21436476707458,1.21418869495392,1.2313027381897
3.66695762643587E-9,1.21840798854828,1.21815478801727,1.23181068897247
3.71396979836902E-9,1.22524094581604,1.22504949569702,1.23442506790161
3.76098219234677E-9,1.23222327232361,1.23218882083893,1.23703956604004
3.80799436427992E-9,1.23664450645447,1.23678112030029,1.23525667190552
3.85500653621307E-9,1.23684668540955,1.23707461357117,1.23347365856171
