s,DDR3_A1_U5.P7_NoTerm,DDR3_A1_U4.P7_NoTerm,DDR3_A1_U2.M5_NoTerm
2.38608421909703E-9,0.470433175563812,0.470258802175522,1.3199098110199
2.4319704028386E-9,0.613578140735626,0.613393247127533,1.30121374130249
2.47785658658017E-9,0.769808173179626,0.76968514919281,1.28251755237579
2.52374277032175E-9,0.918191611766815,0.918196976184845,1.23924338817596
2.56962917610792E-9,1.04050993919373,1.04067802429199,1.19596910476685
2.6155153598495E-9,1.12998425960541,1.1302638053894,1.15377879142761
2.66140154359107E-9,1.19097006320953,1.19125854969025,1.11158835887909
2.70728772733264E-9,1.23193180561066,1.2321161031723,1.09840762615204
2.75317413311882E-9,1.26255559921265,1.26256442070007,1.0852267742157
2.79906031686039E-9,1.28736567497253,1.28722155094147,1.10125422477722
2.84494650060196E-9,1.30517303943634,1.30497193336487,1.11728167533875
2.89083268434354E-9,1.31355655193329,1.31341981887817,1.13921880722046
2.93671886808511E-9,1.31035721302032,1.31037151813507,1.16115593910217
2.98260527387129E-9,1.2968887090683,1.29705107212067,1.17679584026337
3.02849145761286E-9,1.27806866168976,1.27829527854919,1.19243562221527
3.07437764135443E-9,1.25907278060913,1.25924515724182,1.20537292957306
3.120263825096E-9,1.24438869953156,1.24441397190094,1.21831023693085
3.16615023088218E-9,1.23554158210754,1.23540914058685,1.22883141040802
3.21203641462375E-9,1.23116171360016,1.2309422492981,1.2393524646759
3.25792259836533E-9,1.2290540933609,1.22886145114899,1.24301660060883
3.3038087821069E-9,1.22696042060852,1.2268922328949,1.24668073654175
3.34969518789308E-9,1.22407007217407,1.2241530418396,1.24458253383636
3.39558137163465E-9,1.22109878063202,1.22128069400787,1.24248445034027
3.44146755537622E-9,1.21910977363586,1.21928942203522,1.24000453948975
3.48735373911779E-9,1.21910083293915,1.21918261051178,1.23752474784851
3.53323992285937E-9,1.22113144397736,1.22107708454132,1.23650431632996
3.57912632864554E-9,1.22429847717285,1.2241427898407,1.2354838848114
3.62501251238712E-9,1.22752666473389,1.22735571861267,1.23431694507599
3.67089869612869E-9,1.2298299074173,1.22973418235779,1.23315000534058
3.71678487987026E-9,1.23089730739594,1.23092257976532,1.23161721229553
3.76267106361183E-9,1.23109447956085,1.23122131824493,1.23008453845978
3.80855746939801E-9,1.23097407817841,1.23113143444061,1.22950458526611
3.85444387518419E-9,1.23109066486359,1.23119533061981,1.22892451286316
3.90032983688116E-9,1.23162043094635,1.23162150382996,1.22937095165253
3.94621624266733E-9,1.23234581947327,1.23224925994873,1.22981739044189
3.9921022043643E-9,1.23295104503632,1.23281288146973,1.23021411895752
4.03798861015048E-9,1.23313367366791,1.23302841186523,1.23061096668243
4.08387501593666E-9,1.23283803462982,1.23281812667847,1.23062908649445
4.12976097763362E-9,1.23226082324982,1.23233139514923,1.23064708709717
4.1756473834198E-9,1.23165881633759,1.23177790641785,1.23074865341187
4.22153334511677E-9,1.23127424716949,1.23137724399567,1.23085010051727
4.26741975090295E-9,1.23118114471436,1.23121571540833,1.23112595081329
4.31330615668912E-9,1.23128175735474,1.2312343120575,1.23140180110931
4.35919211838609E-9,1.23142778873444,1.23132789134979,1.23151969909668
4.40507852417227E-9,1.23147189617157,1.23137450218201,1.23163771629333
4.45096448586924E-9,1.23136961460114,1.23132467269897,1.23154354095459
4.49685089165541E-9,1.23118317127228,1.23121047019958,1.23144936561584
4.54273729744159E-9,1.23100709915161,1.23108804225922,1.23138010501862
4.58862325913856E-9,1.23093366622925,1.23102295398712,1.23131084442139
4.63450966492474E-9,1.23098695278168,1.2310379743576,1.23133707046509
4.68039607071091E-9,1.23111975193024,1.23110866546631,1.23136341571808
4.72628203240788E-9,1.23126208782196,1.23119866847992,1.23136472702026
4.77216843819406E-9,1.23134505748749,1.23126542568207,1.23136603832245
4.81805439989103E-9,1.23134577274323,1.23129189014435,1.23131322860718
4.8639408056772E-9,1.23128950595856,1.23128831386566,1.23126041889191
4.90982721146338E-9,1.23122334480286,1.23127114772797,1.23123526573181
4.95571317316035E-9,1.23119151592255,1.23126077651978,1.23121023178101
5.00159957894653E-9,1.23121118545532,1.23126471042633,1.20493721961975
5.04748554064349E-9,1.23126602172852,1.23127722740173,1.17866444587708
5.09337194642967E-9,1.231325507164,1.23129141330719,1.05150151252747
5.13925835221585E-9,1.2313574552536,1.23129868507385,0.924338519573212
5.18514431391282E-9,1.22954559326172,1.22949850559235,0.726084351539612
5.23103071969899E-9,1.22228407859802,1.22228109836578,0.527828276157379
5.27691712548517E-9,1.20143187046051,1.20149791240692,0.389631867408752
5.32280308718214E-9,1.1546915769577,1.15483176708221,0.251436769962311
5.36868949296831E-9,1.07444584369659,1.07463395595551,0.21054719388485
5.41457545466528E-9,0.958762228488922,0.958959639072418,0.169658005237579
5.46046186045146E-9,0.817053616046906,0.817194521427155,0.188638314604759
5.50634826623764E-9,0.66890674829483,0.668933987617493,0.207618623971939
5.5522342279346E-9,0.532265901565552,0.532160043716431,0.247515693306923
5.59812063372078E-9,0.420868873596191,0.42064905166626,0.287413150072098
5.64400659541775E-9,0.338739156723022,0.338483691215515,0.321679323911667
5.68989300120393E-9,0.280953705310822,0.280755072832108,0.355945825576782
