s,DDR3_DQS0_P_U4.F3_NoTerm,DDR3_DQS0_P_U2.C2_NoTerm
3.05931679989158E-9,1.13099813461304,1.23113059997559
3.11030556865433E-9,1.14984536170959,1.24043643474579
3.16129411537247E-9,1.16869235038757,1.24667346477509
3.21228266209062E-9,1.18753945827484,1.24822103977203
3.26327120880876E-9,1.20638656616211,1.24690020084381
3.31425997757151E-9,1.20800817012787,1.24384701251984
3.36524852428965E-9,1.20962977409363,1.24074959754944
3.4162370710078E-9,1.21125149726868,1.23867166042328
3.46722583977055E-9,1.21287310123444,1.23720014095306
3.51821438648869E-9,1.21758437156677,1.23608040809631
3.56920293320684E-9,1.22229564189911,1.23495626449585
3.62019170196959E-9,1.22700691223145,1.23360347747803
3.67118024868773E-9,1.23171818256378,1.23211443424225
3.72216879540588E-9,1.23072779178619,1.23054599761963
3.77315734212402E-9,1.22973728179932,1.22929453849792
3.82414588884217E-9,1.22874689102173,1.22860908508301
3.87513487964952E-9,1.22775638103485,1.22826838493347
3.92612342636767E-9,1.22838664054871,1.22813487052917
3.97711197308581E-9,1.22901678085327,1.22802996635437
4.02810051980396E-9,1.22964704036713,1.22784113883972
4.0790890665221E-9,1.23027729988098,1.2276029586792
4.13007761324025E-9,1.2295982837677,1.22733664512634
4.18106615995839E-9,1.22891938686371,1.2271603345871
4.23205515076575E-9,1.22824037075043,1.22714805603027
4.28304369748389E-9,1.22756135463715,1.2272355556488
4.33403224420204E-9,1.22774088382721,1.22738313674927
4.38502079092018E-9,1.22792053222656,1.22750663757324
4.43600933763832E-9,1.22810006141663,1.22755312919617
4.48699788435647E-9,1.22827959060669,1.22755312919617
4.53798687516382E-9,1.22806549072266,1.22752559185028
4.58897542188197E-9,1.22785151004791,1.22751152515411
4.63996396860011E-9,1.22763741016388,1.2275367975235
4.69095251531826E-9,1.22742342948914,1.22758567333221
4.7419410620364E-9,1.22752046585083,1.22764873504639
4.79292960875455E-9,1.22761750221252,1.22769737243652
4.84391815547269E-9,1.22771465778351,1.2277135848999
4.89490714628005E-9,1.2278116941452,1.22771012783051
4.94589569299819E-9,1.13689720630646,1.22769498825073
4.99688423971634E-9,1.04598271846771,1.22768366336823
5.04787278643448E-9,0.955068230628967,1.22768592834473
5.09886133315263E-9,0.864153742790222,1.22769641876221
5.14984987987077E-9,0.738095819950104,1.22771167755127
5.20083887067813E-9,0.612036824226379,1.21695494651794
5.25182741739627E-9,0.485978901386261,1.18866300582886
5.30281596411442E-9,0.359920978546143,1.14966630935669
5.35380451083256E-9,0.363644570112228,1.10424590110779
5.40479305755071E-9,0.367368161678314,1.0470142364502
5.45578160426885E-9,0.371091783046722,0.974071323871613
5.50677015098699E-9,0.374815374612808,0.890972077846527
5.55775914179435E-9,0.40097588300705,0.802264809608459
5.60874768851249E-9,0.427136182785034,0.721676707267761
5.65973623523064E-9,0.453296482563019,0.657339870929718
5.71072478194878E-9,0.479456782341003,0.603111147880554
5.76171332866693E-9,0.492318421602249,0.555170595645905
5.81270187538507E-9,0.505180060863495,0.516731142997742
5.86369086619243E-9,0.518041789531708,0.489743232727051
