s,DDR3_CLK0_N_DDR3_CLK0_P_U5.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N5_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U5.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N4_NoTerm
1.77351955343852E-9,1.53591224716365E-6,1.52596362568147E-6,2.15700629269122E-6,6.72838177706581E-6,6.72838177706581E-6,7.07622439222177E-6
1.81293102752278E-9,2.00388353732706E-6,1.99773194253794E-6,2.25197982217651E-6,8.11100380815333E-6,8.11100380815333E-6,7.31049658497795E-6
1.85234261262934E-9,1.417604494236E-6,1.40871929943387E-6,2.3469533516618E-6,7.73758165451E-6,7.73758165451E-6,7.54476968722884E-6
1.8917540867136E-9,2.46360104938503E-6,2.46563081418572E-6,2.44192688114708E-6,7.97201391833369E-6,7.97201391833369E-6,7.77904187998502E-6
1.93116567182017E-9,1.93126311387459E-6,1.93773894352489E-6,0.00770464725792408,7.1187391768035E-6,7.1187391768035E-6,7.41345593269216E-6
1.97057725692673E-9,2.50587709160754E-6,2.51001938522677E-6,0.0154068525880575,8.23862683319021E-6,8.23862683319021E-6,7.04786953065195E-6
2.00998884203329E-9,1.34107222038438E-6,1.35126697387022E-6,0.023109057918191,7.55495602788869E-6,7.55495602788869E-6,6.68228312861174E-6
2.04940042713986E-9,1.79456367277453E-6,1.79970027147647E-6,0.0308112632483244,8.36931758385617E-6,8.36931758385617E-6,6.31669718131889E-6
2.08881179020182E-9,1.35126958866749E-6,1.358730969514E-6,0.129391953349113,6.78139122101129E-6,6.78139122101129E-6,6.62611455481965E-6
2.12822337530838E-9,0.000719643954653293,0.00071963993832469,0.227973192930222,0.000123106583487242,0.000123106583487242,6.93553374730982E-6
2.16763496041494E-9,0.00354967778548598,0.00354966963641346,0.326554417610168,0.000597922829911113,0.000597922829911113,7.24495293979999E-6
2.20704654552151E-9,0.00823003333061934,0.00823002215474844,0.425135672092438,0.00141978531610221,0.00141978531610221,7.55437213229015E-6
2.24645813062807E-9,0.0134869953617454,0.0134869860485196,0.53942745923996,0.00236541405320168,0.00236541405320168,0.000217069566133432
2.28586949369003E-9,0.0278121884912252,0.0278121847659349,0.653718650341034,0.00481167482212186,0.00481167482212186,0.000426583574153483
2.32528107879659E-9,0.0684909969568253,0.0684910044074059,0.768010437488556,0.011916246265173,0.011916246265173,0.000636098731774837
2.36469266390316E-9,0.132351577281952,0.132351592183113,0.882302224636078,0.0236974656581879,0.0236974656581879,0.000845613947603852
2.40410424900972E-9,0.203580662608147,0.203580662608147,0.901527225971222,0.037358395755291,0.037358395755291,0.00466591026633978
2.44351583411628E-9,0.283771425485611,0.283771425485611,0.920752227306366,0.0530974455177784,0.0530974455177784,0.00848620664328337
2.48292741922285E-9,0.385614186525345,0.385614186525345,0.93997722864151,0.0748068988323212,0.0748068988323212,0.012306503020227
2.52233878228481E-9,0.507761478424072,0.507761478424072,0.959202110767365,0.104406230151653,0.104406230151653,0.0161267779767513
2.56175036739137E-9,0.638101398944855,0.638101398944855,0.816722631454468,0.139521852135658,0.139521852135658,0.0320530943572521
2.60116195249793E-9,0.765352725982666,0.765352725982666,0.674243092536926,0.176667481660843,0.176667481660843,0.0479794070124626
2.6405735376045E-9,0.876560866832733,0.876560866832733,0.53176361322403,0.213658556342125,0.213658556342125,0.0639057233929634
2.67998512271106E-9,0.974920928478241,0.974920928478241,0.389284133911133,0.251940846443176,0.251940846443176,0.0798320397734642
2.71939648577302E-9,1.07153058052063,1.07153058052063,0.289257407188416,0.293454825878143,0.293454825878143,0.117642402648926
2.75880807087958E-9,1.14955854415894,1.14955854415894,0.18923008441925,0.334054052829742,0.334054052829742,0.155452981591225
2.79821965598614E-9,1.17091703414917,1.17091703414917,0.0892027840018272,0.364661395549774,0.364661395549774,0.193263545632362
2.83763124109271E-9,1.14169812202454,1.14169812202454,-0.010824522934854,0.383792787790298,0.383792787790298,0.231074124574661
2.87704282619927E-9,1.09636163711548,1.09636163711548,0.00507746171206236,0.39777734875679,0.39777734875679,0.28495842218399
2.91645441130584E-9,1.03788125514984,1.03788125514984,0.0209794454276562,0.408745497465134,0.408745497465134,0.338842689990997
2.95586577436779E-9,0.950137138366699,0.950137138366699,0.0368813425302505,0.411986917257309,0.411986917257309,0.39272665977478
2.99527735947436E-9,0.833593189716339,0.833593189716339,0.0527833253145218,0.402827113866806,0.402827113866806,0.446610957384109
3.03468894458092E-9,0.703854203224182,0.703854203224182,0.0902168527245522,0.383154034614563,0.383154034614563,0.490294218063354
3.07410052968748E-9,0.574681639671326,0.574681639671326,0.127650380134583,0.360244780778885,0.360244780778885,0.533977448940277
3.11351211479405E-9,0.459839642047882,0.459839671850204,0.165083914995193,0.340923696756363,0.340923696756363,0.577660739421844
3.15292347785601E-9,0.356142520904541,0.356142550706863,0.202517226338387,0.322956115007401,0.322956115007401,0.621343731880188
3.19233506296257E-9,0.252444803714752,0.252444833517075,0.215988099575043,0.30108517408371,0.30108517408371,0.626260221004486
3.23174664806913E-9,0.153259888291359,0.15325990319252,0.229458957910538,0.278744786977768,0.278744786977768,0.631176710128784
3.2711582331757E-9,0.0728952288627625,0.0728952288627625,0.242929831147194,0.264854669570923,0.264854669570923,0.636093139648438
3.31056981828226E-9,0.0106559190899134,0.0106559153646231,0.25640070438385,0.260861486196518,0.260861486196518,0.641009628772736
3.34998140338882E-9,-0.0454548336565495,-0.0454548373818398,0.23924046754837,0.261070817708969,0.261070817708969,0.601930141448975
3.38939276645078E-9,-0.0948626324534416,-0.0948626399040222,0.222080335021019,0.263220489025116,0.263220489025116,0.562850892543793
3.42880435155735E-9,-0.127149611711502,-0.127149611711502,0.2049201130867,0.269465625286102,0.269465625286102,0.523771405220032
3.46821593666391E-9,-0.142609640955925,-0.142609640955925,0.187759876251221,0.281735450029373,0.281735450029373,0.484691888093948
3.50762752177047E-9,-0.150624006986618,-0.150624006986618,0.165757313370705,0.298677891492844,0.298677891492844,0.425542056560516
3.54703910687704E-9,-0.153010293841362,-0.153010278940201,0.143754750490189,0.315750151872635,0.315750151872635,0.366392195224762
3.586450469939E-9,-0.146028488874435,-0.146028488874435,0.121752299368382,0.32792991399765,0.32792991399765,0.307242691516876
3.62586205504556E-9,-0.130176335573196,-0.130176335573196,0.0997497364878654,0.337318539619446,0.337318539619446,0.248092845082283
3.66527364015212E-9,-0.109777823090553,-0.109777823090553,0.0857420116662979,0.348376601934433,0.348376601934433,0.20487205684185
3.70468522525869E-9,-0.087535135447979,-0.0875351428985596,0.071734294295311,0.35733425617218,0.35733425617218,0.161651268601418
3.74409658832064E-9,-0.0658119097352028,-0.0658119171857834,0.0577266477048397,0.355964243412018,0.355964243412018,0.118430718779564
3.78350817342721E-9,-0.045141089707613,-0.0451410934329033,0.0437189266085625,0.345728576183319,0.345728576183319,0.0752099305391312
3.82291975853377E-9,-0.0245138090103865,-0.0245138108730316,0.039219006896019,0.333787173032761,0.333787173032761,0.0639225319027901
3.86233134364034E-9,-0.00476246001198888,-0.00476245954632759,0.0347190871834755,0.319767028093338,0.319767028093338,0.0526351369917393
3.9017429287469E-9,0.0108947828412056,0.0108947856351733,0.0302191711962223,0.298791170120239,0.298791170120239,0.0413477383553982
3.94115451385346E-9,0.0217603035271168,0.0217603072524071,0.0257192514836788,0.270927369594574,0.270927369594574,0.0300603415817022
3.98056609896003E-9,0.0300805624574423,0.0300805661827326,0.0259128659963608,0.240348324179649,0.240348324179649,0.0459807477891445
4.01997768406659E-9,0.0363206937909126,0.0363206975162029,0.0261064823716879,0.209381863474846,0.209381863474846,0.0619011558592319
4.05938926917315E-9,0.0386653691530228,0.0386653691530228,0.026300098747015,0.179121315479279,0.179121315479279,0.0778215602040291
4.09880085427972E-9,0.0369095578789711,0.0369095541536808,0.026493713259697,0.148752391338348,0.148752391338348,0.0937419682741165
4.13821199529707E-9,0.0327713526785374,0.0327713489532471,0.0270196571946144,0.117322087287903,0.117322087287903,0.112977080047131
4.17762358040363E-9,0.0271340124309063,0.027134008705616,0.0275456085801125,0.087812103331089,0.087812103331089,0.132212415337563
4.2170351655102E-9,0.0201742257922888,0.0201742239296436,0.0280715581029654,0.0657427385449409,0.0657427385449409,0.151447743177414
4.25644675061676E-9,0.012263149023056,0.0122631499543786,0.0285975094884634,0.0499716587364674,0.0499716587364674,0.170683071017265
4.29585833572332E-9,0.00378311052918434,0.00378311309032142,0.0274894386529922,0.0355729907751083,0.0355729907751083,0.173888385295868
