s,DDR3_DQS2_P_U5.F3_NoTerm,DDR3_DQS2_P_U2.N2_NoTerm
3.7592613466586E-9,1.14594495296478,1.14267635345459
3.82639075979796E-9,1.1460052728653,1.14307606220245
3.89352061702652E-9,1.1460657119751,1.14380848407745
3.96065003016588E-9,1.14613234996796,1.14456641674042
4.02777988739444E-9,1.1461991071701,1.1450434923172
4.09490974462301E-9,1.14526474475861,1.14507758617401
4.16203915776236E-9,1.1443305015564,1.14498543739319
4.22916901499093E-9,1.14429581165314,1.14493632316589
4.29629842813029E-9,1.14426124095917,1.14497303962708
4.36342828535885E-9,1.14467239379883,1.14511787891388
4.43055769849821E-9,1.14508354663849,1.14522516727448
4.49768755572677E-9,1.14505457878113,1.14521765708923
4.56481696886613E-9,1.14502561092377,1.14515376091003
4.63194682609469E-9,1.14494597911835,1.14506494998932
4.69907668332326E-9,1.14486634731293,1.14500749111176
4.76620609646261E-9,1.14497530460358,1.14501094818115
4.83333595369118E-9,1.14508426189423,1.14503371715546
4.90046536683053E-9,1.14510893821716,1.14505338668823
4.9675952240591E-9,1.14513373374939,1.14505779743195
5.03472463719845E-9,0.972168028354645,1.14504015445709
5.10185449442702E-9,0.799201130867004,1.14502322673798
5.16898435165558E-9,0.548437297344208,1.14501929283142
5.23611376479494E-9,0.297675102949142,1.12784039974213
5.3032436220235E-9,0.265399277210236,1.08435201644897
5.37037303516286E-9,0.233123674988747,1.00250494480133
5.43750289239142E-9,0.251739323139191,0.875973284244537
5.50463230553078E-9,0.270354866981506,0.740138292312622
5.57176216275934E-9,0.32510232925415,0.613788485527039
5.63889201998791E-9,0.379849821329117,0.515805721282959
5.70602143312726E-9,0.439516246318817,0.456102728843689
5.77315129035583E-9,0.499183058738708,0.41685163974762
5.84028070349518E-9,0.494982570409775,0.388605922460556
5.90741056072375E-9,0.490782082080841,0.367485493421555
5.9745399738631E-9,0.457378894090652,0.351446688175201
6.04166983109167E-9,0.423975497484207,0.342770785093307
6.10879924423102E-9,0.410465449094772,0.342672914266586
6.17592910145959E-9,0.396955341100693,0.3470159471035
6.24305895868815E-9,0.389979660511017,0.353601187467575
6.31018837182751E-9,0.383004039525986,0.359072387218475
